gene_id,chr,type,model_type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000142233.11,19,CellTypeSpecific,epithelial,49,48,0,7,1.60238887739928,0.109069642855773,-0.964116713093985,0.334987414383332,0.170334024500443
ENSG00000149054.15,11,CellTypeSpecific,epithelial,55,54,5,2,0.790730239978496,0.429101425685941,0.606257061016669,0.544344067110296,0.486277718758168
ENSG00000183779.6,8,CellTypeSpecific,epithelial,38,38,0,5,5.59238571627568,2.23970573295542e-08,7.8230209928752,5.15705005972669e-15,1.03581122896591e-14
ENSG00000224397.5,20,CellTypeSpecific,epithelial,56,56,2,7,-0.138436579785598,0.889895388836,-1.21145730892167,0.225720186795674,0.715671953689283
ENSG00000048707.13,1,NonSpecific,epithelial,42,37,0,5,1.43247212987177,0.152008748680432,1.43247212987177,0.152008748680432,0.152008748680432
ENSG00000084676.15,2,NonSpecific,epithelial,37,37,2,6,-5.33432737096348,9.58993719585788e-08,-5.33432737096348,9.58993719585788e-08,9.58993719773352e-08
ENSG00000092607.13,1,NonSpecific,epithelial,34,34,3,4,-3.54273831366641,0.000395995443090275,-3.54273831366641,0.000395995443090275,0.000395995443090301
ENSG00000103199.13,16,NonSpecific,epithelial,58,55,3,8,-0.41104984459917,0.681035985912931,-0.41104984459917,0.681035985912931,0.681035985912931
ENSG00000110092.3,11,NonSpecific,epithelial,28,27,1,2,0.278522422351012,0.78061135517555,0.278522422351012,0.78061135517555,0.78061135517555
ENSG00000165269.12,9,NonSpecific,epithelial,33,31,2,6,0.312051311930018,0.755001527612708,0.312051311930018,0.755001527612708,0.755001527612708
ENSG00000166333.13,11,NonSpecific,epithelial,30,28,0,2,0.375150413906487,0.707548605455149,0.375150413906487,0.707548605455149,0.707548605455149
ENSG00000198914.3,2,NonSpecific,epithelial,25,25,1,1,-1.718437686866,0.0857168112139819,-1.718437686866,0.0857168112139819,0.0857168112139819
ENSG00000226445.1,6,NonSpecific,epithelial,28,27,1,3,4.36985634399955,1.24328300327699e-05,4.36985634399955,1.24328300327699e-05,1.24328300328072e-05
ENSG00000232871.8,19,NonSpecific,epithelial,42,42,0,7,4.21524000967151,2.49512690494314e-05,4.21524000967151,2.49512690494314e-05,2.495126904945e-05
ENSG00000236036.1,13,NonSpecific,epithelial,7,6,0,2,-0.804992204197998,0.420824178470046,-0.804992204197998,0.420824178470046,0.420824178470046
ENSG00000257800.1,2,NonSpecific,epithelial,22,21,0,6,-1.59813124806941,0.110013770601732,-1.59813124806941,0.110013770601732,0.110013770601732
ENSG00000277147.4,1,NonSpecific,epithelial,17,6,1,2,1.91109110215618,0.055992874414974,1.91109110215618,0.055992874414974,0.055992874414974
